大标题,采购项目名称,品目,采购单位,行政区域,公告时间,获取招标文件时间,招标文件售价,获取招标文件的地点,开标时间,开标地点,预算金额,项目联系人,项目联系电话,采购单位地址,采购单位联系方式,代理机构名称,代理机构地址,代理机构联系方式,附件1,附件2
中南大学后勤保障部饮食服务中心五食堂中央空调系统采购项目公开招标公告,中南大学后勤保障部饮食服务中心五食堂中央空调系统采购项目,货物/通用设备/电气设备/生活用电器/空气调节电器/空调机,中南大学,湖南省,2022年01月30日  14:33,"2022年01月30日至2022年02月11日, 每日上午:8:30 至 12:00  下午:14:00 至 17:00（北京时间，法定节假日除外）",￥400,天鉴国际工程管理有限公司（地址：长沙市雨花区金海路128号国际研创中心A6栋4楼409室）。,2022年02月23日  09:00,天鉴国际工程管理有限公司开标室（长沙市雨花区金海路128号长沙国际研创中心第A6栋6楼606室）。,￥74.110000万元（人民币）,刘老师,0731-88876372,湖南省长沙市麓山南路932号，中南大学采购与招标管理中心,朱老师、0731-88836549,天鉴国际工程管理有限公司,长沙市雨花区金海路128号国际研创中心A6栋,刘展、刘冰、0731-85713091-8431、15608426724,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220130_17573078.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220130_17573078.htm
中国冶金地质总局网络安全体系规划咨询项目公开招标公告,中国冶金地质总局网络安全体系规划咨询项目,"服务/信息技术服务/信息技术咨询服务/信息技术管理咨询服务,服务/信息技术服务/信息技术咨询服务/信息系统设计服务",中国冶金地质总局,北京市,2022年01月30日  14:46,"2022年01月30日至2022年02月11日, 每日上午:9:30 至 11:00  下午:13:30 至 16:30（北京时间，法定节假日除外）",￥600,北京市海淀区三里河路5号中国五矿集团D座212室（本项目采购文件一律通过线上购买方式获取，如带来不便敬请谅解。）,2022年02月23日  09:30,北京市海淀区三里河路5号中国五矿集团D座四层会议室,￥80.000000万元（人民币）,李文杰、曹常虎,010-88821791、88821704,北京市朝阳区姚家园路105号2座,010-59282759,五矿国际招标有限责任公司,北京市海淀区三里河路5号中国五矿集团D座212室,李文杰、曹常虎/010-88821791、88821704,购买登记表-中国冶金地质总局网络安全体系咨询项目.xls-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220130_17573116.htm,中国冶金地质总局网络安全体系咨询项目-采购需求.pdf-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220130_17573116.htm
北京师范大学珠海校区先进材料研究中心多电源等离子放电烧结系统采购公开招标公告,北京师范大学珠海校区先进材料研究中心多电源等离子放电烧结系统采购,货物/专用设备/专用仪器仪表/教学专用仪器,北京师范大学,北京市,2022年01月30日  15:20,"2022年01月30日至2022年02月11日, 每日上午:9:00 至 12:00  下午:13:00 至 16:00（北京时间，法定节假日除外）",￥200,北京市海淀区莲花池东路39号西金大厦11层新华招标有限公司,2022年02月21日  09:30,北京市海淀区莲花池东路39号西金大厦11层新华招标有限公司,￥236.000000万元（人民币）,叶子青、赵峰,010-63905977,北京市海淀区新街口外大街19号,滕老师 zfcg@bnu.edu.cn,新华招标有限公司,北京市海淀区莲花池东路39号西金大厦11层,叶子青、赵峰 010-63905977,采购需求1827（3）.pdf-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220130_17573188.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220130_17573188.htm
中国自然资源报社《中国自然资源报》2022-2023年度印刷服务采购项目招标公告,中国自然资源报社《中国自然资源报》2022-2023年度印刷服务采购项目,,中国自然资源报社,市辖区,2022年01月30日  15:41,"2022年01月27日至2022年02月21日, 每日上午:0:00 至 11:59  下午:12:00 至 23:59（北京时间，法定节假日除外）",￥0,在线下载 （https://www.zycg.gov.cn）,2022年02月22日  09:00,项目通过网上开标大厅进行开标，请在开标当日登录国e采系统点击“网上开标”进入网上开标大厅，在规定时间内等待解密和唱标,￥581.360000万元（人民币）,徐婧婧,010-83084953,北京市西城区复兴门外大街1号,010-68048055,中央国家机关政府采购中心,西章胡同9号院,010-83083702,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220130_17573246.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220130_17573246.htm
青岛海洋地质研究所船舶及船员委托管理服务项目公开招标公告,青岛海洋地质研究所船舶及船员委托管理服务项目,服务/商务服务/其他商务服务,自然资源部中国地质调查局青岛海洋地质研究所,青岛市,2022年01月30日  15:56,"2022年01月30日至2022年02月11日, 每日上午:9:00 至 11:30  下午:13:30 至 16:30（北京时间，法定节假日除外）",￥300,青岛市市南区延安三路220号邮政大厦1616,2022年02月21日  09:30,青岛市市南区延安三路220号邮政大厦16层第一会议室,￥721.000000万元（人民币）,张锡杰、付志强,15265262977、18661690553,青岛市即墨区蓝谷观山路596号,聂鑫 0532-80778326,青岛采购招标中心有限公司,青岛市市南区延安三路220号16层,张锡杰、付志强 15265262977、18661690553,采购需求仅供参考，具体以招标文件为准.doc-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220130_17573362.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220130_17573362.htm
呼伦贝尔市森林消防支队驻海单位综合食堂和训练馆及营区附属配套项目二次（施工）公开招标公告,呼伦贝尔市森林消防支队驻海单位综合食堂和训练馆及营区附属配套项目二次（施工）,工程/建筑物施工/其他建筑物施工,呼伦贝尔市森林消防支队,呼伦贝尔市,2022年01月30日  17:42,"2022年01月30日至2022年02月21日, 每日上午:9:00 至 12:00  下午:15:00 至 17:00（北京时间，法定节假日除外）",￥0,http://www.hlbeggzyjy.org.cn/jygk/021001/021001001/021001001003/20220130/f4439bb5-2893-464e-be40-c3c01a0a1ead.html,2022年02月21日  09:30,详见招标公告,￥2198.675300万元（人民币）,毕勇,18847017771,18847017771,毕勇,内蒙古招标有限责任公司,呼伦贝尔海拉尔市河东新区腾阳华瑞园东区3-106号门市,联系人：包芳华   电话：0470-8228006,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220130_17573523.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220130_17573523.htm
中央广播电视总台音像资料馆库房智能化管理货物公开招标公告,音像资料馆库房智能化管理货物,"货物/通用设备/计算机设备及软件/机房辅助设备/机房环境监控设备,货物/家具用具/柜类/金属质柜类",中央广播电视总台,北京市,2022年01月30日  16:39,"2022年01月30日至2022年02月14日, 每日上午:9:00 至 11:30  下午:13:30 至 16:00（北京时间，法定节假日除外）",￥800,wkzb002@qq.com,2022年02月28日  09:00,北京市海淀区三里河路5号五矿大厦D座四层第八会议室,￥400.000000万元（人民币）,石浩人 潘爽,010-68494192/68494325,北京市海淀区复兴路11号,刘老师 68508752　,五矿国际招标有限责任公司,北京市海淀区三里河路5号五矿大厦D206室,石浩人 潘爽010-68494192/68494325,技术要求.pdf-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220130_17573416.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220130_17573416.htm
中国人民银行金融信息中心总行机关电子设备类办公耗材采购项目公开招标公告,总行机关电子设备类办公耗材采购项目,"货物/办公消耗用品及类似物品/硒鼓、粉盒/粉盒,货物/办公消耗用品及类似物品/硒鼓、粉盒/鼓粉盒",中国人民银行金融信息中心,北京市,2022年02月06日  18:57,"2022年02月06日至2022年02月11日, 每日上午:9:30 至 11:00  下午:13:30 至 16:30（北京时间，法定节假日除外）",￥500,中化商务电子招投标平台（e.sinochemitc.com）（本项目采购文件一律通过线上购买方式获取）,2022年02月28日  09:30,北京市西城区真武庙四条4号京铁生达大厦层第5会议室,￥462.503600万元（人民币）,曹宇臣、曹颖、王毕申,010-59369309,北京市西城区成方街32号,010-66194619,中化商务有限公司,北京复兴门外大街A2号中化大厦（邮编：100045）,曹宇臣、曹颖 、王毕申 010-59369309,附件.docx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202202/t20220206_17575668.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202202/t20220206_17575668.htm
湖北财税职业学院干训楼厨房原材料供应项目公开招标公告,湖北财税职业学院干训楼厨房原材料供应项目,"货物/农林牧渔业产品/农产品/农作物副产品/其他农作物副产品,服务/批发和零售服务/批发服务/食品和饮料批发服务",湖北财税职业学院,湖北省,2022年02月06日  21:30,"2022年02月07日至2022年02月11日, 每日上午:8:30 至 12:00  下午:14:00 至 16:30（北京时间，法定节假日除外）",￥0,湖北省成套招标股份有限公司7楼服务大厅,2022年02月28日  09:30,湖北省成套招标股份有限公司10楼1003号会议室,￥300.000000万元（人民币）,杨老师,17720534490,武汉市武昌区白沙洲大道519号,杨老师 17720534490,湖北省成套招标股份有限公司,湖北省武汉市武昌区东湖西路平安财富中心（东湖大厦正对面）B座7楼,温飞飞、黄释娴、苏恩华 027-87816666-8413、8403、8401,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202202/t20220206_17575741.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202202/t20220206_17575741.htm
富裕县农业农村局2021年富裕县黑土地保护利用有机肥抛洒项目公开招标公告,2021年富裕县黑土地保护利用有机肥抛洒项目,货物/基础化学品及相关产品/化学原料及化学制品/有机肥料及微生物肥料,富裕县农业农村局,黑龙江省,2022年02月07日  09:15,"2022年02月07日至2022年02月11日, 每日上午:8:00 至 14:00  下午:12:00 至 21:00（北京时间，法定节假日除外）",￥0,网上报名并获取,2022年02月28日  09:30,哈尔滨市南岗区红旗大街242号福斯特大厦1411,￥1253.980000万元（人民币）,梅先生,0451-55586391,富裕县,尹先生13846226523,黑龙江三能工程招标咨询有限公司,哈尔滨市南岗区红旗大街242号福斯特大厦1013,梅先生0451-55586391,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202202/t20220207_17576003.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202202/t20220207_17576003.htm
四川大学华西医院临床研究一体化信息化平台采购项目(第二次)公开招标采购公告,四川大学华西医院临床研究一体化信息化平台采购项目(第二次),服务/信息技术服务/其他信息技术服务,四川大学华西医院,四川省,2022年01月14日  17:39,"2022年01月17日至2022年01月21日, 每日上午:9:00 至 12:00  下午:12:00 至 17:00（北京时间，法定节假日除外）",￥300,http://sale.scbid.net,2022年02月09日  10:30,四川国际招标有限责任公司开标厅（四川省成都市高新区天府大道中段800号天府四街66号航兴国际广场1号楼3楼）,￥300.000000万元（人民币）,张女士、熊女士,028-87797107，13281460462，13111881728,成都国学巷37号,张老师028-85423272,四川国际招标有限责任公司,中国（四川）自由贸易试验区成都市高新区天府四街66号2栋22层1号,陈雨霏028-87797837,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17524732.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17524732.htm
复旦大学附属中山医院大数据存储扩容（集中式全闪存）公开招标公告,复旦大学附属中山医院大数据存储扩容（集中式全闪存）,货物/通用设备/计算机设备及软件/存储设备/其他存储设备,复旦大学附属中山医院,上海市,2022年01月14日  14:17,"2022年01月14日至2022年01月21日, 每日上午:9:00 至 11:30  下午:13:00 至 16:30（北京时间，法定节假日除外）",￥500,上海市普陀区长寿路285号恒达大厦16楼1606室,2022年02月11日  13:30,上海市长寿路285号恒达大厦10楼第2会议室,￥110.000000万元（人民币）,张子豪、孙瑞强,021-32557735、32557738,上海市枫林路180号,仲敏 021-64041990,上海机电设备招标有限公司,上海市普陀区长寿路285号恒达大厦16楼,张子豪、孙瑞强，021-32557735、32557738，传真：021-32557272，电子邮箱：zzh@shbid.com,6511招标文件_复旦大学附属中山医院大数据存储扩容（集中式全闪存）.docx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17522924.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17522924.htm
烟台市消防救援支队2022年度审计中介服务单位选定项目公开招标公告,烟台市消防救援支队2022年度审计中介服务单位选定项目,服务/其他服务,烟台市消防救援支队,烟台市,2022年01月14日  15:00,"2022年01月15日至2022年01月21日, 每日上午:8:30 至 11:45  下午:13:30 至 17:00（北京时间，法定节假日除外）",￥300,山东省鲁成招标有限公司烟台分公司（烟台市莱山区迎春大街171号润华大厦2号楼11楼1109财务部）。,2022年02月08日  14:00,烟台市莱山区迎春大街171号润华大厦2号楼11层1107会议室。,￥0.000000万元（人民币）,柳潇,0535－6262179,山东省烟台市莱山区芙蓉路4号,李科长0535-2983937,山东省鲁成招标有限公司,烟台市莱山区迎春大街171号润华大厦2号楼11层,柳潇0535－6262179,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17523027.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17523027.htm
国家税务总局青海省税务局青海省电子税务局出口退税纳税人端系统升级改造项目（第二次）公开招标公告,青海省电子税务局出口退税纳税人端系统升级改造项目（第二次）,服务/信息技术服务/软件开发服务/应用软件开发服务/行业应用软件开发服务,国家税务总局青海省税务局,青海省,2022年01月14日  15:11,"2022年01月17日至2022年01月21日, 每日上午:8:30 至 12:00  下午:14:30 至 17:30（北京时间，法定节假日除外）",￥500,qinghailianxiang@163.com邮箱,2022年02月10日  15:00,青海联祥招标代理有限公司开标厅（西宁市城西区蓝宝石大酒店写字楼18楼1803室 ）,￥50.000000万元（人民币）,张老师,0971-8216534,西宁市城中区文化街11号,联系人：张老师，联系电话：0971-8216534,青海联祥招标代理有限公司,西宁市城西区胜利路21号蓝宝石大酒店写字楼18楼1803室,联系人：李女士，联系电话：0971-6511500,2021-SW011青海省电子税务局出口退税纳税人端系统升级改造项目（第二次）.docx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17523294.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17523294.htm
浙江大学超重力光学观测系统、隔振台公开招标公告,超重力光学观测系统、隔振台,货物/专用设备/专用仪器仪表/教学专用仪器,浙江大学,西湖区,2022年01月14日  15:30,"2022年01月17日至2022年02月17日, 每日上午:9:00 至 11:00  下午:13:30 至 16:00（北京时间，法定节假日除外）",￥0,详见公告原文,2022年02月23日  09:00,浙江大学紫金港校区东四117室。,￥920.000000万元（人民币）,杨老师、谢老师,0571-88206325,杭州市西湖区余杭塘路866号,杨老师、谢老师   0571-88206325,详见公告正文,详见公告正文,详见公告正文,超重力光学观测系统、隔振台（ZUPC-GK-HW-2022002G）招标公告.docx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17523492.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17523492.htm
YY2022年度零星维修定点单位选取项目公开招标公告,YY2022年度零星维修定点单位选取项目,服务/维修和保养服务/其他维修和保养服务,某医院,云南省,2022年01月14日  15:24,"2022年01月17日至2022年01月21日, 每日上午:9:00 至 11:30  下午:14:30 至 17:00（北京时间，法定节假日除外）",￥1200,云南省昆明市盘龙区新迎新城写字楼1508号,2022年02月07日  14:30,云南省昆明市盘龙区新迎新城写字楼1508号开标室,￥3.500000万元（人民币）,张栋晴,18725166283,云南省昆明市盘龙区穿金路462号,黄东基、联系电话：0871-65339533,云南中聚项目管理咨询有限公司,云南省昆明市盘龙区新迎新城写字楼1508号,张工：18725166283,零星招标公告时间确认版.docx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17523207.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17523207.htm
华中科技大学采购高分辨显微共焦激光拉曼光谱仪项目（二次）公开招标公告,华中科技大学采购高分辨显微共焦激光拉曼光谱仪项目,货物/通用设备/仪器仪表/光学仪器/光学测试仪器,华中科技大学,湖北省,2022年01月14日  15:31,"2022年01月14日至2022年01月21日, 每日上午:8:30 至 12:00  下午:14:00 至 17:00（北京时间，法定节假日除外）",￥500,阳光招采电子招标投标交易平台（http://www.yangguangzhaocai.com/）,2022年02月08日  14:30,武汉市武昌区中北路109号中铁1818中心10楼湖北国华项目管理咨询有限公司3号会议室,￥290.000000万元（人民币）,张琳林、汪树新、王刚,027-87326513,湖北省武汉市洪山区珞喻路1037号,李老师027-87540659邮箱：hustcgzx@hust.edu.cn,湖北国华项目管理咨询有限公司,武汉市武昌区中北路109号中铁1818中心10楼,张琳林、汪树新、王刚027-87326513邮箱：1451502801@qq.com,HW20210448附件.docx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17523280.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17523280.htm
暨南大学光子技术研究院大面积修胶/灰化设备采购项目招标公告,暨南大学光子技术研究院大面积修胶/灰化设备采购项目,货物/专用设备/专用仪器仪表/教学专用仪器,暨南大学,广东省,2022年01月14日  15:48,"2022年01月14日至2022年01月21日, 每日上午:9:00 至 12:00  下午:14:30 至 17:30（北京时间，法定节假日除外）",￥300,广州市天河北路626号保利中宇广场A座25楼前台,2022年03月03日  09:30,广州市天河北路626号保利中宇广场A座25楼第一会议室,￥165.000000万元（人民币）,刘小姐,020-83629157,广州市黄埔大道西601号,田老师，020-85220458,广东有德招标采购有限公司,广州市天河北路626号保利中宇广场A座25楼,刘小姐，020-83629157,4558暨南大学光子技术研究院大面积修胶灰化设备采购项目（发布稿）.pdf-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17523679.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17523679.htm
鲁南区域灭火与应急救援中心10KV配电工程公开招标公告,鲁南区域灭火与应急救援中心10KV配电工程,工程/建筑安装工程/其他安装,济宁市消防救援支队,济宁市,2022年01月14日  15:54,"2022年01月17日至2022年01月21日, 每日上午:9:00 至 11:30  下午:13:30 至 16:30（北京时间，法定节假日除外）",￥300,山东省济宁市任城区税务街与外塘子街交叉口路西,2022年02月10日  14:30,具体时间及地点详见招标文件,￥373.919220万元（人民币）,梁径珲,15053717130,济宁市金宇路34号,焦科长   0537-2568818,山东万信项目管理有限公司,山东万信项目管理有限公司,梁径珲   15053717130 ,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17523750.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17523750.htm
