职位名称,发布时间,薪资待遇,学历要求,公司名称,公司现状
量化开发工程师（python）[上海·望京],18:30发布,20k-35k,经验3-5年 / 本科,Amber Group,科技金融 / 不需要融资 / 150-500人
高级Python开发后端工程师[武汉·东湖新技术开发区],18:27发布,15k-25k,经验5-10年 / 本科,森果云,IT技术服务｜咨询 / 天使轮 / 50-150人
Python 开发工程师[北京·西直门],18:27发布,20k-40k,经验3-5年 / 本科,墨云科技,人工智能服务 / B轮 / 150-500人
python爬虫工程师[深圳·科技园],18:27发布,10k-15k,经验1-3年 / 本科,O2OMind,数据服务｜咨询 / 未融资 / 15-50人
Python开发工程师[广州·越秀区],18:25发布,20k-40k,经验不限 / 本科,南方报业,文化传媒 / 不需要融资 / 2000人以上
研发效能Python后台开发工程师[深圳·南山区],18:23发布,15k-30k,经验3-5年 / 不限,富途,科技金融 / 上市公司 / 500-2000人
高级Python工程师(QPU2)[广州·海珠区],18:22发布,15k-22k,经验5-10年 / 本科,齿轮易创,软件服务｜咨询 / A轮 / 50-150人
Java/Python[北京·白石桥],18:21发布,9k-18k,经验在校/应届 / 本科,石云科技,"企业服务,金融 / 不需要融资 / 50-150人"
后端研发工程师(Python)(JB79P)[上海·静安区],18:59发布,13k-26k,经验1-3年 / 本科,MRS,人工智能服务 / A轮 / 15-50人
python开发工程师[上海·虹口区],18:54发布,15k-25k,经验3-5年 / 本科,纳纳科技,软件服务｜咨询 / 不需要融资 / 50-150人
量化开发工程师（python）[深圳·南山区],18:30发布,20k-35k,经验3-5年 / 本科,Amber Group,科技金融 / 不需要融资 / 150-500人
Android研发(往python后端培养)[武汉·洪山区],18:27发布,8k-14k,经验不限 / 本科,森果云,IT技术服务｜咨询 / 天使轮 / 50-150人
Python爬虫实习生[深圳·科技园],18:27发布,4k-6k,经验在校/应届 / 本科,O2OMind,数据服务｜咨询 / 未融资 / 15-50人
研发效能Python后台开发工程师[深圳·南山区],18:23发布,15k-30k,经验3-5年 / 本科,富途,科技金融 / 上市公司 / 500-2000人
python开发工程师[北京·白石桥],18:21发布,9k-18k,经验在校/应届 / 本科,石云科技,"企业服务,金融 / 不需要融资 / 50-150人"
python开发工程师（J10181）[深圳·福田区],18:21发布,11k-20k,经验1-3年 / 本科,嘉为科技,"企业服务,数据服务 / B轮 / 500-2000人"
python开发工程师[深圳·罗湖区],18:20发布,14k-22k,经验5-10年 / 大专,金证睿服,软件服务｜咨询 / 上市公司 / 2000人以上
python后端开发工程师[北京·海淀区],18:16发布,20k-40k,经验3-5年 / 本科,八分量,"人工智能服务,区块链,信息安全 / 天使轮 / 50-150人"
python后端开发工程师[成都·高新区],18:16发布,10k-20k,经验1-3年 / 本科,萌想科技,工具类产品 / B轮 / 150-500人
python开发工程师[长沙·雨花区],18:16发布,8k-10k,经验1-3年 / 本科,湖南象盒网络科技有限公司,房产家居 / 未融资 / 2000人以上
python开发工程师[上海·龙华],18:16发布,25k-45k,经验3-5年 / 本科,天壤智能,"移动互联网,企业服务 / A轮 / 150-500人"
python后端开发工程师[深圳·南山区],18:15发布,20k-40k,经验3-5年 / 本科,寻找母星,生活服务 / A轮 / 50-150人
高级Python工程师(J3TU2)[北京·东城区],18:14发布,15k-30k,经验5-10年 / 本科,齿轮易创,软件服务｜咨询 / A轮 / 50-150人
高级Python开发工程师（平台研发方向）[上海·静安区],18:59发布,25k-48k,经验3-5年 / 本科,MRS,人工智能服务 / A轮 / 15-50人
python后端开发工程师[上海·长阳路],18:54发布,16k-25k,经验3-5年 / 本科,纳纳科技,软件服务｜咨询 / 不需要融资 / 50-150人
高级开发工程师（Node.js/Python/Go/Java)[香港·中西区],18:30发布,25k-50k,经验5-10年 / 不限,Amber Group,科技金融 / 不需要融资 / 150-500人
python后台[武汉·东湖新技术开发区],18:27发布,9k-16k,经验在校/应届 / 本科,森果云,IT技术服务｜咨询 / 天使轮 / 50-150人
python爬虫工程师[深圳·南山区],18:26发布,10k-15k,经验不限 / 大专,O2OMind,数据服务｜咨询 / 未融资 / 15-50人
资讯与社区-Python后台开发工程师[深圳·南山区],18:23发布,15k-30k,经验1-3年 / 本科,富途,科技金融 / 上市公司 / 500-2000人
python中高级开发[杭州·湖滨],18:16发布,20k-30k,经验3-5年 / 本科,八分量,"人工智能服务,区块链,信息安全 / 天使轮 / 50-150人"
Python开发工程师（实施）[上海·龙华],18:16发布,15k-30k,经验不限 / 本科,天壤智能,"移动互联网,企业服务 / A轮 / 150-500人"
python开发工程师[广州·海珠区],18:14发布,9k-12k,经验1-3年 / 大专,微创软件,IT技术服务｜咨询 / 不需要融资 / 2000人以上
python开发工程师[上海·北京西路],18:13发布,12k-24k,经验1-3年 / 本科,Student.com,居住服务 / C轮 / 150-500人
python工程师[北京·海淀区],18:12发布,15k-20k,经验3-5年 / 本科,开源中国,"社交平台,软件服务｜咨询 / B轮 / 150-500人"
Python后端开发工程师[深圳·科技园],18:11发布,13k-25k,经验1-3年 / 本科,Shopee,电商平台 / 上市公司 / 500-2000人
Python/RPA/.NET开发工程师[成都·高新区],18:10发布,8k-12k,经验1-3年 / 本科,普华永道成都SDC,专业服务｜咨询 / 不需要融资 / 2000人以上
python开发工程师[广州·珠江新城],18:07发布,15k-20k,经验3-5年 / 本科,中电金信,"IT技术服务｜咨询,软件服务｜咨询 / 不需要融资 / 2000人以上"
python开发工程师[深圳·南山区],18:07发布,10k-15k,经验1-3年 / 本科,博悦科创,IT技术服务｜咨询 / 不需要融资 / 500-2000人
Python开发实习生[上海·静安区],18:59发布,3k-6k,经验在校/应届 / 本科,MRS,人工智能服务 / A轮 / 15-50人
后端开发（python）[上海·长阳路],18:54发布,25k-35k,经验3-5年 / 本科,纳纳科技,软件服务｜咨询 / 不需要融资 / 50-150人
高级量化开发工程师（python）[深圳·南山区],18:30发布,25k-45k,经验5-10年 / 本科,Amber Group,科技金融 / 不需要融资 / 150-500人
python后端[武汉·江夏区],18:27发布,9k-16k,经验在校/应届 / 本科,森果云,IT技术服务｜咨询 / 天使轮 / 50-150人
Python爬虫实习生[深圳·南山区],18:26发布,4k-6k,经验在校/应届 / 大专,O2OMind,数据服务｜咨询 / 未融资 / 15-50人
python开发工程师[深圳·南山区],18:14发布,10k-15k,经验1-3年 / 本科,微创软件,IT技术服务｜咨询 / 不需要融资 / 2000人以上
高级python开发（知识图谱方向）[上海·张江],18:06发布,15k-30k,经验3-5年 / 本科,达观数据,"人工智能服务,数据服务｜咨询 / C轮 / 500-2000人"
python开发工程师[深圳·龙华新区],18:06发布,6k-12k,经验1-3年 / 本科,源中瑞科技,"移动互联网,电商 / 未融资 / 50-150人"
Python 开发工程师（数据汇聚、爬虫方向）[上海·普陀区],18:05发布,13k-22k,经验3-5年 / 本科,尔乐美讯文化传播,"文化传媒,新媒体 / 不需要融资 / 50-150人"
python实习[深圳·福田区],18:04发布,4k-6k,经验在校/应届 / 本科,北京筑龙信息技术有限责任公司,软件服务｜咨询 / D轮及以上 / 500-2000人
python开发工程师[西安·未央区],18:04发布,13k-20k,经验3-5年 / 本科,联通数字科技有限公司,"IT技术服务｜咨询,软件服务｜咨询 / 上市公司 / 2000人以上"
python开发工程师[北京·中关村],18:03发布,20k-25k,经验1-3年 / 本科,缔联科技,软件服务｜咨询 / B轮 / 50-150人
python后端开发工程师[深圳·新安],18:03发布,18k-25k,经验3-5年 / 大专,布桐游戏,游戏 / 不需要融资 / 50-150人
python开发工程师[广州·天河区],18:02发布,8k-15k,经验1-3年 / 本科,北京时空立方,游戏 / 未融资 / 500-2000人
python后端开发工程师[深圳·宝安区],17:58发布,15k-25k,经验3-5年 / 本科,血之缘,"医疗丨健康,软件开发 / 未融资 / 50-150人"
Python后端开发工程师（平台研发方向）[上海·静安区],18:59发布,18k-36k,经验1-3年 / 本科,MRS,人工智能服务 / A轮 / 15-50人
量化开发工程师（python）[北京·望京],18:30发布,20k-35k,经验3-5年 / 本科,Amber Group,科技金融 / 不需要融资 / 150-500人
高级python[上海·张江],18:06发布,18k-35k,经验3-5年 / 本科,达观数据,"人工智能服务,数据服务｜咨询 / C轮 / 500-2000人"
python后端开发工程师[北京·中关村],18:03发布,20k-25k,经验1-3年 / 本科,缔联科技,软件服务｜咨询 / B轮 / 50-150人
python开发工程师[深圳·新安],18:03发布,12k-18k,经验1-3年 / 大专,布桐游戏,游戏 / 不需要融资 / 50-150人
Python爬虫工程师[广州·天河区],18:02发布,10k-14k,经验1-3年 / 大专,北京时空立方,游戏 / 未融资 / 500-2000人
python开发[深圳·宝安区],17:58发布,15k-25k,经验3-5年 / 大专,血之缘,"医疗丨健康,软件开发 / 未融资 / 50-150人"
python开发工程师[北京·朝阳区],17:58发布,20k-40k,经验1-3年 / 本科,微观博易投资,金融业 / 未融资 / 50-150人
python开发工程师[深圳·南山区],17:57发布,15k-20k,经验3-5年 / 本科,隆数信息,IT技术服务｜咨询 / 不需要融资 / 50-150人
python爬虫工程师[深圳·科技园],17:56发布,8k-14k,经验1-3年 / 本科,微创软件,IT技术服务｜咨询 / 不需要融资 / 2000人以上
python/java全栈工程师[广州·越秀区],17:56发布,6k-10k,经验不限 / 本科,鸿蒙科技,IT技术服务｜咨询 / 未融资 / 50-150人
高级python开发工程师（后端）[北京·望京],17:54发布,30k-50k,经验3-5年 / 本科,蓝湖,工具类产品 / C轮 / 150-500人
python开发工程师[北京·海淀区],17:54发布,20k-35k,经验3-5年 / 本科,拉勾集团,"工具类产品,在线教育 / D轮及以上 / 500-2000人"
python开发实习生[上海·黄浦区],17:54发布,3k-6k,经验在校/应届 / 本科,谷露软件,工具类产品 / A轮 / 50-150人
python开发工程师[北京·西二旗],17:51发布,10k-20k,经验1-3年 / 本科,融智国创,"人工智能,软件开发 / 未融资 / 50-150人"
后端开发工程师（Python/Go/Node.js)[深圳·西丽],18:30发布,20k-40k,经验3-5年 / 本科,Amber Group,科技金融 / 不需要融资 / 150-500人
高级Python开发工程师[成都·武侯区],18:06发布,14k-20k,经验3-5年 / 本科,达观数据,"人工智能服务,数据服务｜咨询 / C轮 / 500-2000人"
python高级开发工程师[深圳·宝安区],17:58发布,18k-30k,经验5-10年 / 本科,血之缘,"医疗丨健康,软件开发 / 未融资 / 50-150人"
python开发工程师[深圳·南山区],17:57发布,15k-20k,经验3-5年 / 本科,隆数信息,IT技术服务｜咨询 / 不需要融资 / 50-150人
python开发工程师G00370[上海·黄浦区],17:54发布,15k-30k,经验不限 / 本科,谷露软件,工具类产品 / A轮 / 50-150人
python爬虫工程师[北京·海淀区],17:49发布,18k-22k,经验1-3年 / 本科,千里马,专业服务｜咨询 / 不需要融资 / 500-2000人
python开发工程师[深圳·龙华新区],17:49发布,15k-25k,经验3-5年 / 本科,万博时代,电商 / 未融资 / 150-500人
python爬虫工程师[北京·世界公园],17:48发布,12k-24k,经验3-5年 / 本科,中国指数研究院,"数据服务,其他 / 上市公司 / 2000人以上"
Python开发工程师（数据导出）[北京·海淀区],17:47发布,11k-18k,经验1-3年 / 本科,视野数科,科技金融 / A轮 / 50-150人
Python-后端开发工程师[杭州·西溪],17:47发布,15k-30k,经验3-5年 / 本科,艾耕科技,人工智能服务 / A轮 / 150-500人
Python开发工程师[深圳·科技园],17:46发布,13k-20k,经验3-5年 / 本科,金蝶账无忧,企业服务 / 不需要融资 / 50-150人
高级后端开发工程师（Python/golang）[深圳·新安],17:46发布,25k-45k,经验5-10年 / 本科,江行智能,智能硬件 / A轮 / 50-150人
python开发工程师[上海·闵行区],17:44发布,15k-30k,经验不限 / 本科,图灵量子,"智能硬件,物联网,信息安全 / 天使轮 / 50-150人"
python开发工程师[北京·中关村],17:43发布,16k-20k,经验1-3年 / 本科,微创软件,IT技术服务｜咨询 / 不需要融资 / 2000人以上
高级Python开发/Python开发[北京·立水桥],17:43发布,25k-50k,经验5-10年 / 硕士,极智嘉,"硬件,数据服务 / D轮及以上 / 2000人以上"
量化/高级量化系统开发工程师（Python/Node.js）[深圳·南山区],18:30发布,20k-40k,经验5-10年 / 本科,Amber Group,科技金融 / 不需要融资 / 150-500人
python开发工程师[上海·张江],18:06发布,14k-20k,经验1-3年 / 本科,达观数据,"人工智能服务,数据服务｜咨询 / C轮 / 500-2000人"
初级python开发工程师[深圳·宝安区],17:58发布,12k-17k,经验1-3年 / 本科,血之缘,"医疗丨健康,软件开发 / 未融资 / 50-150人"
Python研发工程师[深圳·龙华新区],17:49发布,12k-18k,经验1-3年 / 本科,万博时代,电商 / 未融资 / 150-500人
python爬虫工程师[北京·世界公园],17:48发布,15k-25k,经验3-5年 / 本科,中国指数研究院,"数据服务,其他 / 上市公司 / 2000人以上"
python开发工程师[北京·西单],17:47发布,10k-20k,经验1-3年 / 本科,视野数科,科技金融 / A轮 / 50-150人
后端开发实习生（Python）[杭州·西溪],17:47发布,4k-6k,经验在校/应届 / 本科,艾耕科技,人工智能服务 / A轮 / 150-500人
python软件开发工程师[深圳·科技园],17:46发布,12k-20k,经验3-5年 / 本科,金蝶账无忧,企业服务 / 不需要融资 / 50-150人
python后端开发工程师[上海·闵行区],17:44发布,15k-30k,经验3-5年 / 本科,图灵量子,"智能硬件,物联网,信息安全 / 天使轮 / 50-150人"
python开发工程师[深圳·西丽],17:43发布,13k-22k,经验3-5年 / 本科,中电金信,"IT技术服务｜咨询,软件服务｜咨询 / 不需要融资 / 2000人以上"
Python开发工程师[北京·甜水园],17:43发布,18k-30k,经验1-3年 / 本科,ZingFront智线,"IT技术服务｜咨询,数据服务｜咨询 / A轮 / 50-150人"
python开发工程师[深圳·南山区],17:41发布,20k-40k,经验3-5年 / 本科,成都拟合未来科技有限公司,智能硬件 / B轮 / 500-2000人
后端工程师（python）[上海·普陀区],17:41发布,15k-25k,经验不限 / 本科,庆科信息,软件服务｜咨询 / C轮 / 50-150人
高薪招聘 Scratch/Python编程老师（就近分配校区）[上海·北外滩],17:40发布,10k-15k,经验不限 / 本科,斯坦星球,教育 / B轮 / 500-2000人
高级python开发工程师[上海·虹梅路],17:40发布,20k-30k,经验5-10年 / 本科,问卷网@众言科技,工具类产品 / C轮 / 150-500人
高级量化开发工程师（python）[北京·望京],18:30发布,25k-45k,经验5-10年 / 本科,Amber Group,科技金融 / 不需要融资 / 150-500人
python实习生（22、23毕业）[上海·张江],18:06发布,4k-6k,经验在校/应届 / 本科,达观数据,"人工智能服务,数据服务｜咨询 / C轮 / 500-2000人"
python中级开发工程师[深圳·龙华新区],17:49发布,20k-40k,经验3-5年 / 本科,万博时代,电商 / 未融资 / 150-500人
Python工程师[北京·西单],17:47发布,25k-35k,经验5-10年 / 硕士,视野数科,科技金融 / A轮 / 50-150人
软件工程师（Python/PHP/Java）[北京·甜水园],17:43发布,18k-30k,经验3-5年 / 本科,ZingFront智线,"IT技术服务｜咨询,数据服务｜咨询 / A轮 / 50-150人"
python开发工程师[苏州·吴中区],17:40发布,11k-16k,经验3-5年 / 本科,问卷网@众言科技,工具类产品 / C轮 / 150-500人
python爬虫工程师[广州·珠江新城],17:40发布,11k-15k,经验1-3年 / 大专,企成科技,移动互联网 / 天使轮 / 15-50人
python[上海·龙柏],17:39发布,15k-30k,经验3-5年 / 本科,格林豪泰,服务业 / 上市公司 / 2000人以上
python爬虫工程师[重庆·渝北区],17:37发布,6k-10k,经验1-3年 / 本科,大司空,"数据服务,软件开发 / 未融资 / 150-500人"
python工程师[北京·五道口],17:37发布,11k-20k,经验3-5年 / 本科,易博中天,软件开发 / 不需要融资 / 50-150人
python开发工程师[深圳·东门],17:37发布,14k-20k,经验3-5年 / 本科,金证睿服,软件服务｜咨询 / 上市公司 / 2000人以上
python开发工程师[上海·上海影城],17:36发布,15k-30k,经验3-5年 / 本科,合阔信息,IT技术服务｜咨询 / B轮 / 50-150人
python后端研发工程师[北京·朝阳区],17:33发布,22k-35k,经验3-5年 / 本科,LBE 科技,移动互联网 / C轮 / 150-500人
